Clustering results for file  I01_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"DB_0.08_3",0.995881692250094,0,0.736960024230289,0,0.999728245237845,0,0.633367911060819,0,9,0
"DB_0.09_3",0.997379258704605,0,0.737020599952044,0,0.999592373516775,0,0.633503929018432,0,9,0
"DB_0.1_3",0.998128041931861,0,0.73706911661808,0,0.999592375133891,0,0.633570999861193,0,9,0
"DB_0.04_4",0.974166978659678,0,0.732461435560473,0,0.999865955469414,0,0.627206772928142,0,9,0
"DB_0.05_4",0.985024335454886,0,0.735526959701721,0,0.999865067585265,0,0.63136637354552,0,9,0
"DB_0.06_4",0.989142643204792,0,0.736351743024327,0,0.999728202645759,0,0.632542525827107,0,9,0
"DB_0.07_4",0.992886559341071,0,0.736623492442758,0,0.999728230682558,0,0.632906457948285,0,9,0
"DB_0.08_4",0.995881692250094,0,0.736960024230289,0,0.999728245237845,0,0.633367911060819,0,9,0
"DB_0.09_4",0.997379258704605,0,0.737020599952044,0,0.999592373516775,0,0.633503929018432,0,9,0
"DB_0.1_4",0.998128041931861,0,0.73706911661808,0,0.999592375133891,0,0.633570999861193,0,9,0
"DB_0.04_5",0.968925496068888,0,0.729897904668958,0,0.999865885024722,0,0.62371199279771,0,10,0
"DB_0.05_5",0.983526769000374,0,0.735254929840133,0,0.999865055267806,0,0.631000424165303,0,9,0
"DB_0.06_5",0.989142643204792,0,0.736351743024327,0,0.999728202645759,0,0.632542525827107,0,9,0
"DB_0.07_5",0.991763384500187,0,0.736547211904251,0,0.999728223404329,0,0.632803983728521,0,9,0
"DB_0.08_5",0.995132909022838,0,0.736910385791628,0,0.999728242542539,0,0.633300137280731,0,9,0
"DB_0.09_5",0.997379258704605,0,0.737020599952044,0,0.999592373516775,0,0.633503929018432,0,9,0
"DB_0.1_5",0.998128041931861,0,0.73706911661808,0,0.999592375133891,0,0.633570999861193,0,9,0
"DB_0.04_6",0.963684013478098,0,0.729276162191495,0,0.999867790086443,0,0.622936711293694,0,10,0
"DB_0.05_6",0.980906027704979,0,0.735031697087738,0,0.999866027701502,0,0.630710359272495,0,9,0
"DB_0.06_6",0.989142643204792,0,0.736351743024327,0,0.999728202645759,0,0.632542525827107,0,9,0
"DB_0.07_6",0.991763384500187,0,0.736547211904251,0,0.999728223404329,0,0.632803983728521,0,9,0
"DB_0.08_6",0.994384125795582,0,0.736860747352967,0,0.999728239308101,0,0.633232650842898,0,9,0
"DB_0.09_6",0.997004867090977,0,0.736996201397448,0,0.999592372708212,0,0.633470198173146,0,9,0
"DB_0.1_6",0.998128041931861,0,0.73706911661808,0,0.999592375133891,0,0.633570999861193,0,9,0
"HDB_3",0.99475851740921,0,0.736797367199649,0,0.999592367856767,0,0.633194696587284,0,10,0
"HDB_4",0.996630475477349,0,0.736932260357817,0,0.999592371899646,0,0.633381335696045,0,9,0
"HDB_5",0.995507300636466,0,0.73682064398162,0,0.999592369473928,0,0.633226576224849,0,9,0
"HDB_6",0.995132909022838,0,0.736795404097555,0,0.999592366643888,0,0.633192389832987,0,9,0
"HDB_7",0.995507300636466,0,0.736819522208995,0,0.999592367856767,0,0.633225585850059,0,9,0
"HDB_8",0.904530138524897,0,0.451325023802613,0,0.999592072914733,0,0.23539745107206,0,12,0
"HDB_9",0.99475851740921,0,0.736771566429272,0,0.999592365431002,0,0.633159584896202,0,9,0
"HDB_10",0.994384125795582,0,0.736707905832797,0,0.999592364218108,0,0.633071257759434,0,9,0
"MM",0.966005241482591,0.0235738913394235,0.4784211611188,0.0250857192713557,0.986013210616099,0.0117388799212418,0.278306239870499,0.0314002914495263,8.8,0.447213595499958
Clustering results for file  I03_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"KMeans_5",0.986770110249081,0.0222785049616149,0.57996000768621,0.0245653685066905,0.927834197262928,0.125102180606604,0.500473679594565,0.00337591548297585,5,0
"KMeans_6",0.996815026541445,0.000182610696406687,0.524876633653325,0.0569147437766949,0.987223288432909,0.00252436219107115,0.419234309517116,0.0704765650745311,6,0
"KMeans_7",0.996733360555329,0,0.442940829523588,0.00252923550261494,0.99017990063315,2.94722736447086e-05,0.317901301860703,0.0031138787210207,7,0
"KMeans_8",0.996896692527562,0.000223651513885336,0.420018308126299,0.0206964282559383,0.992247950782917,0.00126293140906162,0.289268644935382,0.0257136307647594,8,0
"KMeans_9",0.996815026541445,0.000182610696406687,0.384420945457263,0.0267819370308827,0.993863648592901,0.00086364360119819,0.245168410759469,0.0330974599761901,9,0
"KMeans_10",0.996815026541445,0.000182610696406687,0.353777852504824,0.0300125183097624,0.994728893512457,0.000767783159688281,0.207325927462023,0.0370399678469343,10,0
"KMENOIDS_5",0.997141690485913,0,0.463294008225313,0,0.990696464764228,0,0.342786980245454,0,6,0
"KMENOIDS_6",0.997141690485913,0,0.440982647312362,0,0.991083887862537,0,0.315289137991661,0,7,0
"KMENOIDS_7",0.996733360555329,0,0.426347822373811,0,0.990301867164099,0,0.297489063730766,0,8,0
"KMENOIDS_8",0.996733360555329,0,0.378716669735813,0,0.99269276989579,0,0.238428291925644,0,9,0
"KMENOIDS_9",0.997141690485913,0,0.377854306279474,0,0.993225476655965,0,0.237247166651776,0,10,0
"KMENOIDS_10",0.997141690485913,0,0.347533473713427,0,0.995026276612918,0,0.199586811068316,0,11,0
"DB_0.04_3",0.956308697427521,0,0.855191661529182,0,0.992783192986504,0,0.823940952037859,0,14,0
"DB_0.05_3",0.968558595345039,0,0.858966711769777,0,0.992786326384569,0,0.828481901851799,0,13,0
"DB_0.06_3",0.979175173540221,0,0.86296360792854,0,0.992778422169633,0,0.833340435313119,0,11,0
"DB_0.07_3",0.982850142915476,0,0.864589254784533,0,0.992773886916535,0,0.835324922247309,0,10,0
"DB_0.08_3",0.986525112290731,0,0.91592106421989,0,0.992503032521551,0,0.898431903827587,0,8,0
"DB_0.09_3",0.988975091874234,0,0.919462592441359,0,0.99248619418918,0,0.902783048288625,0,8,0
"DB_0.1_3",0.991833401388322,0,0.920953463732029,0,0.992480043053189,0,0.90461312243712,0,8,0
"DB_0.04_4",0.951000408329931,0,0.85482903519377,0,0.992773215413771,0,0.823551294318129,0,12,0
"DB_0.05_4",0.965291955900368,0,0.858705500711241,0,0.992782225420527,0,0.828183424348186,0,12,0
"DB_0.06_4",0.976316864026133,0,0.862165963431786,0,0.992779679647677,0,0.832372315137491,0,10,0
"DB_0.07_4",0.980808493262556,0,0.864495845976883,0,0.992772563747208,0,0.835217075621217,0,9,0
"DB_0.08_4",0.985708452429563,0,0.915185136256762,0,0.992506191005994,0,0.897528434842045,0,8,0
"DB_0.09_4",0.98856676194365,0,0.918760691972447,0,0.99248960727428,0,0.901920527494504,0,8,0
"DB_0.1_4",0.991425071457738,0,0.92094011961665,0,0.99247990815155,0,0.904597120816217,0,8,0
"DB_0.04_5",0.943242139648836,0,0.853564346658767,0,0.992761068221777,0,0.822086838148312,0,11,0
"DB_0.05_5",0.961616986525112,0,0.858406926129646,0,0.992776884590387,0,0.827845857951458,0,12,0
"DB_0.06_5",0.973458554512046,0,0.862014841325124,0,0.992777033121436,0,0.832200745754435,0,10,0
"DB_0.07_5",0.979583503470804,0,0.864409109226922,0,0.992771603497495,0,0.835115540976298,0,9,0
"DB_0.08_5",0.984075132707227,0,0.914403504698463,0,0.992508838995675,0,0.89657046057468,0,8,0
"DB_0.09_5",0.987341772151899,0,0.916656992183017,0,0.992499847484937,0,0.899335479011611,0,8,0
"DB_0.1_5",0.991016741527154,0,0.920926441898387,0,0.992479773245071,0,0.904580709514922,0,8,0
"DB_0.04_6",0.931400571661903,0,0.851779237624,0,0.992735752085747,0,0.820059306871375,0,9,0
"DB_0.05_6",0.957533687219273,0,0.858097676255748,0,0.992770363536107,0,0.827501660090443,0,11,0
"DB_0.06_6",0.972233564720294,0,0.86189574509537,0,0.992775631233714,0,0.832061925521255,0,10,0
"DB_0.07_6",0.977133523887301,0,0.863584776499412,0,0.992773118298881,0,0.834113143168989,0,9,0
"DB_0.08_6",0.982441812984892,0,0.912928312743363,0,0.99251497005988,0,0.894760176753273,0,8,0
"DB_0.09_6",0.986933442221315,0,0.916621963880148,0,0.992499632158993,0,0.899293111008208,0,8,0
"DB_0.1_6",0.991016741527154,0,0.920926441898387,0,0.992479773245071,0,0.904580709514922,0,8,0
"HDB_3",0.968558595345039,0,0.862147281670256,0,0.992768736200908,0,0.832389058647159,0,21,0
"HDB_4",0.978766843609637,0,0.862448858677812,0,0.99278185768409,0,0.832708225609121,0,11,0
"HDB_5",0.98121682319314,0,0.863275193022629,0,0.99278040549637,0,0.833712698439365,0,10,0
"HDB_6",0.976316864026133,0,0.862353448252855,0,0.992779679647677,0,0.832602566193081,0,11,0
"HDB_7",0.981625153123724,0,0.862705399295964,0,0.992785355348169,0,0.833004832042275,0,9,0
"HDB_8",0.979991833401388,0,0.861944784719387,0,0.992787779792142,0,0.832075923204831,0,9,0
"HDB_9",0.979175173540221,0,0.861878064142494,0,0.992787158341441,0,0.831997275983666,0,9,0
"HDB_10",0.977541853817885,0,0.861727942844485,0,0.99278555243133,0,0.831821433575975,0,9,0
"MM",0.991915067374439,0.00673063491519462,0.368048049490655,0.0175302293928141,0.995097662906032,0.00274022105552938,0.224772483797437,0.0213380346340521,9,0
Clustering results for file  I04_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"KMeans_5",0.922346137959521,0.0215084946087569,0.439556770817332,0.0294310309666453,0.733534602879703,0.075726311404143,0.367449156310603,0.0219085382094456,5,0
"KMeans_6",0.927550598926064,0.0141785934321964,0.391031982549387,0.044443853162983,0.812734747072811,0.0441122817588408,0.287595678637106,0.0582507438856529,6,0
"KMeans_7",0.951920693928129,0.00135742889096694,0.414310048781154,0.0379719711983136,0.876719398825658,0.0222931259380796,0.300889132233126,0.0527082025985864,7,0
"KMeans_8",0.947707558859975,0.01490884794834,0.380129172768578,0.0365111736288984,0.888968187395581,0.0335266440894449,0.255319872505001,0.0441162169822792,8,0
"KMeans_9",0.951672862453532,0.00116828877519462,0.357708207454743,0.0153571747696713,0.913009961802691,0.00872935623454891,0.221502410723319,0.0212274172061048,9,0
"KMeans_10",0.950351094589013,0.00125285013532453,0.338882300531506,0.0186513243610164,0.924470194314078,0.00927832046604887,0.195247844122146,0.0254686725140168,10,0
"KMENOIDS_5",0.889301941346551,0,0.342253559590498,0,0.7399636744286,0,0.244702232522787,0,6,0
"KMENOIDS_6",0.921520033044197,0,0.357848167378414,0,0.822938835779301,0,0.243769570388785,0,7,0
"KMENOIDS_7",0.951672862453532,0,0.37233197128432,0,0.89733173426874,0,0.243558722431417,0,8,0
"KMENOIDS_8",0.951672862453532,0,0.368487169771387,0,0.900213863335436,0,0.238063922639204,0,9,0
"KMENOIDS_9",0.950433705080545,0,0.361455378386774,0,0.911813436302001,0,0.226462183823711,0,10,0
"KMENOIDS_10",0.948781495249897,0,0.352027541382053,0,0.918614082398042,0,0.21305378408319,0,11,0
"DB_0.04_3",0.912845931433292,0,0.655666840763157,0,0.568757164194658,0,0.67692797933405,0,11,0
"DB_0.05_3",0.887649731515903,0,0.624326400196627,0,0.320958395502967,0,0.698637076450364,0,6,0
"DB_0.06_3",0.887649731515903,0,0.61587691719493,0,0.263348336269193,0,0.702303460716797,0,6,0
"DB_0.07_3",0.889714993804213,0,0.616039407252655,0,0.263469649193667,0,0.702493773748278,0,7,0
"DB_0.08_3",0.889714993804213,0,0.810106813317357,0,0.0989937335864167,0,0.984485605891542,0,5,0
"DB_0.09_3",0.890541098719537,0,0.809478017757842,0,0.0953470474447241,0,0.984611598113655,0,5,0
"DB_0.1_3",0.891367203634862,0,0.809490306921872,0,0.0871391876761381,0,0.986654327747096,0,5,0
"DB_0.04_4",0.908302354399009,0,0.653951819649691,0,0.56844536675913,0,0.67485087377222,0,10,0
"DB_0.05_4",0.88517141676993,0,0.62453531598513,0,0.323796581694991,0,0.698172035060075,0,5,0
"DB_0.06_4",0.88517141676993,0,0.615454989229913,0,0.263202707998793,0,0.701792542167712,0,5,0
"DB_0.07_4",0.885997521685254,0,0.615722278547557,0,0.263251257152766,0,0.702120533342401,0,5,0
"DB_0.08_4",0.888888888888889,0,0.81073595024254,0,0.102634690261805,0,0.984360069507024,0,5,0
"DB_0.09_4",0.890128046261875,0,0.810109544242697,0,0.0990202842077164,0,0.98448889440546,0,6,0
"DB_0.1_4",0.891367203634862,0,0.809490306921872,0,0.0871391876761381,0,0.986654327747096,0,5,0
"DB_0.04_5",0.900454357703428,0,0.654471378195609,0,0.577123436498872,0,0.67333500915901,0,9,0
"DB_0.05_5",0.883106154481619,0,0.624360536763376,0,0.323626370764885,0,0.697973070877718,0,4,0
"DB_0.06_5",0.881866997108633,0,0.615915491515356,0,0.266053772766696,0,0.701637121691862,0,3,0
"DB_0.07_5",0.882280049566295,0,0.615537941087113,0,0.263053187522223,0,0.701910649357273,0,3,0
"DB_0.08_5",0.883519206939281,0,0.810659484333023,0,0.102320338512764,0,0.98426620536644,0,2,0
"DB_0.09_5",0.883519206939281,0,0.81001669278114,0,0.0986328023390109,0,0.984374920306228,0,2,0
"DB_0.1_5",0.884345311854606,0,0.810041271109199,0,0.0904811280187541,0,0.986431655446848,0,2,0
"DB_0.04_6",0.899628252788104,0,0.657533086867321,0,0.595211959646647,0,0.672718087183929,0,9,0
"DB_0.05_6",0.889714993804213,0,0.633896245319023,0,0.378653064555052,0,0.696365843595345,0,6,0
"DB_0.06_6",0.881866997108633,0,0.615915491515356,0,0.266053772766696,0,0.701637121691862,0,3,0
"DB_0.07_6",0.882280049566295,0,0.616052037782352,0,0.266089418033469,0,0.70180357535992,0,3,0
"DB_0.08_6",0.883519206939281,0,0.810659484333023,0,0.102320338512764,0,0.98426620536644,0,2,0
"DB_0.09_6",0.883519206939281,0,0.81001669278114,0,0.0986328023390109,0,0.984374920306228,0,2,0
"DB_0.1_6",0.884345311854606,0,0.810041271109199,0,0.0904811280187541,0,0.986431655446848,0,2,0
"HDB_3",0.856257744733581,0,0.619048886977241,0,0.973864737631076,0,0.536846323061968,0,71,0
"HDB_4",0.890954151177199,0,0.638747051454047,0,0.927506873614191,0,0.569933971914814,0,25,0
"HDB_5",0.904171829822387,0,0.64024632946566,0,0.893136077164528,0,0.579454610431183,0,18,0
"HDB_6",0.897149938042131,0,0.639952072260284,0,0.892893687185097,0,0.579396512296488,0,15,0
"HDB_7",0.893432465923172,0,0.640759743429564,0,0.898387956513963,0,0.579239090582703,0,12,0
"HDB_8",0.891367203634862,0,0.642766290823067,0,0.898051025002038,0,0.581871169483041,0,11,0
"HDB_9",0.89301941346551,0,0.641523719793406,0,0.898269134071288,0,0.580198138717402,0,10,0
"HDB_10",0.890541098719537,0,0.641495386443004,0,0.901099485724419,0,0.579609893849529,0,10,0
"MM",0.948616274266832,0.0162739523219012,0.418712914887298,0.0615229056318239,0.963612037351561,0.0113858020731371,0.285058701601679,0.0754069491888611,8.6,0.547722557505166
Clustering results for file  I05_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"KMeans_5",0.912351945854484,0.0182308889798866,0.643308901136816,0.0780214814283594,0.799884714846912,0.0434478996168898,0.56878478786216,0.116597463774446,5,0
"KMeans_6",0.917879300620417,0.0174644646348599,0.578036359284426,0.0730470913148858,0.858260062775135,0.0302908543474975,0.444660568181391,0.111280654624236,6,0
"KMeans_7",0.922617033276932,0.0160986746152277,0.567709650272013,0.0541093924871534,0.882953984641807,0.0247448206277324,0.417665375060603,0.0868208578411261,7,0
"KMeans_8",0.926452340665539,0.000504471060913659,0.536944180260975,0.000217044503953051,0.908509781471465,6.70367344400885e-05,0.360093130935782,0.000300595836986475,8,0
"KMeans_9",0.928708403835307,0.007562860819791,0.525411648772215,0.0203745697394059,0.9205558955327,0.00576416993649525,0.337338063793564,0.0308310985437866,9,0
"KMeans_10",0.926677946982515,0.00839417713826128,0.486507418144503,0.0385492767699173,0.930447124780386,0.0148019489433185,0.275209056025136,0.0639388535511582,10,0
"KMENOIDS_5",0.898477157360406,0,0.530639553167082,0,0.830365003849419,0,0.387981674477689,0,6,0
"KMENOIDS_6",0.931754089114495,0,0.551153558710479,0,0.898651716445901,0,0.385757694201303,0,7,0
"KMENOIDS_7",0.931190073322053,0,0.533879779333596,0,0.907876502753815,0,0.355871608594505,0,8,0
"KMENOIDS_8",0.927241962774958,0,0.528817005521753,0,0.909755808674023,0,0.347504669700876,0,9,0
"KMENOIDS_9",0.924985899605189,0,0.471393704667072,0,0.93516986793533,0,0.250653946038177,0,10,0
"KMENOIDS_10",0.924985899605189,0,0.452697790662292,0,0.944011686440176,0,0.218851122043619,0,11,0
"DB_0.04_3",0.864072194021433,0,0.819947825356266,0,0.904168119636537,0,0.780742606586435,0,24,0
"DB_0.05_3",0.884376762549351,0,0.874446647034334,0,0.838450572893575,0,0.891400452287423,0,11,0
"DB_0.06_3",0.847715736040609,0,0.804619454852637,0,0.553551015071036,0,0.923483423769035,0,7,0
"DB_0.07_3",0.854483925549915,0,0.806950635249841,0,0.541004437512618,0,0.933040238729777,0,6,0
"DB_0.08_3",0.857868020304569,0,0.805029416670168,0,0.523729467261346,0,0.938537459060175,0,6,0
"DB_0.09_3",0.86350817822899,0,0.800688532145717,0,0.491993147991915,0,0.947427046186472,0,8,0
"DB_0.1_3",0.866328257191201,0,0.799412175865981,0,0.480262092234026,0,0.951166774997088,0,7,0
"DB_0.04_4",0.840383530738861,0,0.817054538926638,0,0.906059473168366,0,0.77612303711875,0,14,0
"DB_0.05_4",0.870840383530739,0,0.871678768179324,0,0.841167276076702,0,0.885990835125783,0,8,0
"DB_0.06_4",0.843767625493514,0,0.81125714409394,0,0.580851865812288,0,0.920124333525808,0,5,0
"DB_0.07_4",0.852227862380147,0,0.807609502456588,0,0.543688186432491,0,0.932706220149569,0,5,0
"DB_0.08_4",0.856175972927242,0,0.804998860509855,0,0.523687073484324,0,0.938494998723398,0,5,0
"DB_0.09_4",0.855047941342358,0,0.798091258519121,0,0.49580001423724,0,0.941612637326529,0,4,0
"DB_0.1_4",0.858996051889453,0,0.79849676422994,0,0.483568167895184,0,0.948155041846348,0,4,0
"DB_0.04_5",0.822335025380711,0,0.797394832698656,0,0.922696768434718,0,0.740474565977928,0,16,0
"DB_0.05_5",0.86350817822899,0,0.856676330052366,0,0.848466380257768,0,0.860514672635619,0,10,0
"DB_0.06_5",0.865764241398759,0,0.853516313806674,0,0.732659958064619,0,0.910548270970329,0,4,0
"DB_0.07_5",0.847715736040609,0,0.808810741508889,0,0.552066930888391,0,0.930409878433282,0,4,0
"DB_0.08_5",0.852227862380147,0,0.804725764827058,0,0.523588125315316,0,0.938098406938775,0,4,0
"DB_0.09_5",0.855047941342358,0,0.801165972150606,0,0.506826721512479,0,0.94088909500215,0,4,0
"DB_0.1_5",0.857868020304569,0,0.801429519033305,0,0.49461430519596,0,0.947206707058262,0,4,0
"DB_0.04_6",0.80146644106035,0,0.784064707762156,0,0.928078169195166,0,0.719526011912389,0,13,0
"DB_0.05_6",0.861816130851664,0,0.86243298333798,0,0.880996354312728,0,0.85378544274386,0,11,0
"DB_0.06_6",0.861816130851664,0,0.853955558611172,0,0.738209388777734,0,0.908523522937498,0,4,0
"DB_0.07_6",0.844331641285956,0,0.812605434667746,0,0.565712247607347,0,0.929467796152346,0,3,0
"DB_0.08_6",0.851099830795262,0,0.80691053028943,0,0.534857210710681,0,0.935915194240175,0,4,0
"DB_0.09_6",0.855047941342358,0,0.80193624202516,0,0.509583779956729,0,0.940710568214248,0,4,0
"DB_0.1_6",0.856175972927242,0,0.80126273332493,0,0.500725563151672,0,0.943992098127436,0,4,0
"HDB_3",0.518894529046813,0,0.268218155706554,0,0.999740463236739,0,0.00791641672528601,0,148,0
"HDB_4",0.798082346305697,0,0.701901102440801,0,0.973903359110378,0,0.583045796163894,0,22,0
